Unique_ID,Taxa,Species,x_g,y_g,Reference,Group,Order,Family,Genus,Notes
1,Mammal,Aepyceros melampus,41850,14310,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Aepyceros,African ecosystems
2,Mammal,Aepyceros melampus,45150,15802.5,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Aepyceros,African ecosystems
3,Mammal,Aepyceros melampus,44000,10235.24392,This Study,Eutherian,Artiodactyla,Bovidae,Aepyceros,African ecosystems
4,Mammal,Alces alces,369000,109772.7076,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Alces,
5,Mammal,Alces alces,320000,68892.2912,This Study,Eutherian,Artiodactyla,Cervidae,Alces,
6,Mammal,Antidorcas marsupialis,27900,15624,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Antidorcas,African ecosystems
7,Mammal,Antidorcas marsupialis,31900,9166.198635,This Study,Eutherian,Artiodactyla,Bovidae,Antidorcas,African ecosystems
8,Mammal,Antilocapra americana,42599.05843,19169.57629,"Singer and Norland 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Antilocapridae,Antilocapra,
9,Mammal,Antilocapra americana,42599.05843,20447.54805,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Antilocapridae,Antilocapra,
10,Mammal,Antilocapra americana,48000,16485.53846,Ernest et al. 2003,Eutherian,Artiodactyla,Antilocapridae,Antilocapra,
11,Mammal,Antilocapra americana,44240,18138.4,Fagan et. al. 2009,Eutherian,Artiodactyla,Antilocapridae,Antilocapra,
12,Mammal,Bison bison,590201.0802,188864.3457,"Larter 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,
13,Mammal,Bison bison,590201.0802,174109.3187,"Singer and Norland 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,
14,Mammal,Bison bison,590201.0802,137516.8517,"Calef 1984; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,
15,Mammal,Bison bison,159272.5,101663.2203,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Bison,
16,Mammal,Bison bison,420000,79221.87,This Study,Eutherian,Artiodactyla,Bovidae,Bison,
17,Mammal,Bubalus bubalis,576633.6733,190289.1122,"Skeat 1990; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bubalus,African ecosystems
18,Mammal,Bubalus bubalis,800000,181549.256,This Study,Eutherian,Artiodactyla,Bovidae,Bubalus,African ecosystems
19,Mammal,Camelus dromedarius,414095.0127,57973.30178,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Camelidae,Camelus,
20,Mammal,Camelus dromedarius,450000,121430.1049,Ernest et al. 2003,Eutherian,Artiodactyla,Camelidae,Camelus,
21,Mammal,Cervus elaphus,112901.5749,43241.30319,"Houston 1982; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,
