Time,Mass (g),Organism
0,0.01,Guppy (Lebistes reticulatus)
7,0.015,Guppy (Lebistes reticulatus)
14,0.03,Guppy (Lebistes reticulatus)
21,0.05,Guppy (Lebistes reticulatus)
28,0.07,Guppy (Lebistes reticulatus)
35,0.085,Guppy (Lebistes reticulatus)
42,0.11,Guppy (Lebistes reticulatus)
49,0.115,Guppy (Lebistes reticulatus)
56,0.125,Guppy (Lebistes reticulatus)
63,0.135,Guppy (Lebistes reticulatus)
70,0.145,Guppy (Lebistes reticulatus)
73.5,0.135,Guppy (Lebistes reticulatus)
87.5,0.14,Guppy (Lebistes reticulatus)
84,0.135,Guppy (Lebistes reticulatus)
5,45,Heron (Ardea cinerea)
7,85,Heron (Ardea cinerea)
9,125,Heron (Ardea cinerea)
11,210,Heron (Ardea cinerea)
13,300,Heron (Ardea cinerea)
15,485,Heron (Ardea cinerea)
17,570,Heron (Ardea cinerea)
19,700,Heron (Ardea cinerea)
21,830,Heron (Ardea cinerea)
23,940,Heron (Ardea cinerea)
25,1030,Heron (Ardea cinerea)
27,1120,Heron (Ardea cinerea)
0,43,Hen
3,54,Hen
6,91,Hen
9,152,Hen
12,216,Hen
15,299,Hen
18,351,Hen
21,392,Hen
60,679,Hen
90,1152,Hen
120,1602,Hen
150,1724,Hen
180,1784,Hen
210,1925,Hen
240,2126,Hen
270,2054,Hen
300,1878,Hen
330,1931,Hen
360,2260,Hen
0,0.098,Salmon (Oncorhynchus nerka)
60,0.46,Salmon (Oncorhynchus nerka)
90,0.458,Salmon (Oncorhynchus nerka)
120,0.786,Salmon (Oncorhynchus nerka)
150,0.984,Salmon (Oncorhynchus nerka)
180,2.09,Salmon (Oncorhynchus nerka)
210,3.193,Salmon (Oncorhynchus nerka)
420,6.871,Salmon (Oncorhynchus nerka)
450,11.959,Salmon (Oncorhynchus nerka)
480,19.042,Salmon (Oncorhynchus nerka)
510,26.299,Salmon (Oncorhynchus nerka)
540,40.865,Salmon (Oncorhynchus nerka)
570,56.69,Salmon (Oncorhynchus nerka)
780,59.355,Salmon (Oncorhynchus nerka)
810,81.037,Salmon (Oncorhynchus nerka)
840,94.996,Salmon (Oncorhynchus nerka)
870,98.772,Salmon (Oncorhynchus nerka)
900,98.696,Salmon (Oncorhynchus nerka)
930,115.392,Salmon (Oncorhynchus nerka)
1140,136.639,Salmon (Oncorhynchus nerka)
1170,130.157,Salmon (Oncorhynchus nerka)
1200,138.261,Salmon (Oncorhynchus nerka)
1230,161.085,Salmon (Oncorhynchus nerka)
1260,138.38,Salmon (Oncorhynchus nerka)
0,8,Rat
20,22,Rat
40,40,Rat
50,57,Rat
60,74,Rat
65,90,Rat
73,105,Rat
80,120,Rat
85,135,Rat
90,150,Rat
110,177,Rat
120,195,Rat
140,210,Rat
155,220,Rat
180,240,Rat
210,250,Rat
370,280,Rat
1460,908.949,Atlantic Cod (Gadus morhua)
1460,836.296,Atlantic Cod (Gadus morhua)
1825,1329.143,Atlantic Cod (Gadus morhua)
1825,1122.476,Atlantic Cod (Gadus morhua)
2190,1750.553,Atlantic Cod (Gadus morhua)
2190,1750.553,Atlantic Cod (Gadus morhua)
2482,2582.965,Atlantic Cod (Gadus morhua)
2445.5,3134.1,Atlantic Cod (Gadus morhua)
2737.5,4102.956,Atlantic Cod (Gadus morhua)
2847,3233.107,Atlantic Cod (Gadus morhua)
3285,5398.212,Atlantic Cod (Gadus morhua)
3285,5985.897,Atlantic Cod (Gadus morhua)
3540.5,6454.179,Atlantic Cod (Gadus morhua)
3540.5,5985.897,Atlantic Cod (Gadus morhua)
1,2.4,Robin (Erithacus rubecula)
2,4,Robin (Erithacus rubecula)
3,5.8,Robin (Erithacus rubecula)
4,7.8,Robin (Erithacus rubecula)
5,8.8,Robin (Erithacus rubecula)
6,11.4,Robin (Erithacus rubecula)
7,13.2,Robin (Erithacus rubecula)
8,15.8,Robin (Erithacus rubecula)
9,16.8,Robin (Erithacus rubecula)
10,18,Robin (Erithacus rubecula)
11,18.4,Robin (Erithacus rubecula)
12,18.3,Robin (Erithacus rubecula)
0,0.3,Shrew (Sorex cinereus)
2,0.5,Shrew (Sorex cinereus)
3,0.8,Shrew (Sorex cinereus)
4,1.1,Shrew (Sorex cinereus)
6,1.6,Shrew (Sorex cinereus)
8,2.1,Shrew (Sorex cinereus)
9,2.4,Shrew (Sorex cinereus)
11,3,Shrew (Sorex cinereus)
13,3.4,Shrew (Sorex cinereus)
14,3.3,Shrew (Sorex cinereus)
16,3.2,Shrew (Sorex cinereus)
19,3.55,Shrew (Sorex cinereus)
66.667,67.5,Guinea Pig
100,72,Guinea Pig
133.333,73.5,Guinea Pig
150,90,Guinea Pig
191.667,90,Guinea Pig
233.333,111,Guinea Pig
308.333,120,Guinea Pig
350,126,Guinea Pig
400,150,Guinea Pig
500,180,Guinea Pig
525,210,Guinea Pig
566.667,219,Guinea Pig
616.667,240,Guinea Pig
666.667,270,Guinea Pig
683.333,300,Guinea Pig
725,330,Guinea Pig
766.667,390,Guinea Pig
783.333,420,Guinea Pig
800,450,Guinea Pig
808.333,480,Guinea Pig
816.667,510,Guinea Pig
821.667,534,Guinea Pig
825,570,Guinea Pig
825,630,Guinea Pig
833.333,690,Guinea Pig
833.333,720,Guinea Pig
850,780,Guinea Pig
