Unique_ID,S3,S3_order,Taxa,Species,x_g,y_g,logx_g,logy_g,Reference,Group,Order,Family,Genus,Replicate,Notes
1,24,25,Mammal,Aepyceros melampus,41850,14310,4.621695462,4.155639634,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Aepyceros,3,African ecosystems
2,24,25,Mammal,Aepyceros melampus,45150,15802.5,4.654657755,4.198725799,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Aepyceros,3,African ecosystems
3,24,25,Mammal,Aepyceros melampus,44000,10235.24392,4.643452676,4.010098197,This Study,Eutherian,Artiodactyla,Bovidae,Aepyceros,3,African ecosystems
4,24,25,Mammal,Alces alces,369000,109772.7076,5.567026366,5.040494377,Ernest et al. 2003,Eutherian,Artiodactyla,Cervidae,Alces,2,
5,24,25,Mammal,Alces alces,320000,68892.2912,5.505149978,4.838170629,This Study,Eutherian,Artiodactyla,Cervidae,Alces,2,
6,24,25,Mammal,Antidorcas marsupialis,27900,15624,4.445604203,4.19379223,Fagan et. al. 2009,Eutherian,Artiodactyla,Bovidae,Antidorcas,2,African ecosystems
7,24,25,Mammal,Antidorcas marsupialis,31900,9166.198635,4.503790683,3.962189264,This Study,Eutherian,Artiodactyla,Bovidae,Antidorcas,2,African ecosystems
8,24,25,Mammal,Antilocapra americana,42599.05843,19169.57629,4.6294,4.282612514,"Singer and Norland 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Antilocapridae,Antilocapra,4,
9,24,25,Mammal,Antilocapra americana,42599.05843,20447.54805,4.6294,4.310641237,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Antilocapridae,Antilocapra,4,
10,24,25,Mammal,Antilocapra americana,48000,16485.53846,4.681241237,4.217103137,Ernest et al. 2003,Eutherian,Artiodactyla,Antilocapridae,Antilocapra,3,
11,24,25,Mammal,Antilocapra americana,44240,18138.4,4.645815118,4.258598975,Fagan et. al. 2009,Eutherian,Artiodactyla,Antilocapridae,Antilocapra,3,
12,24,25,Mammal,Bison bison,590201.0802,188864.3457,5.771,5.276149978,"Larter 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,5,
13,24,25,Mammal,Bison bison,590201.0802,174109.3187,5.771,5.240822016,"Singer and Norland 1994; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,5,
14,24,25,Mammal,Bison bison,590201.0802,137516.8517,5.771,5.138355921,"Calef 1984; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bison,5,
15,24,25,Mammal,Bison bison,159272.5,101663.2203,5.202140797,5.007163863,Ernest et al. 2003,Eutherian,Artiodactyla,Bovidae,Bison,3,
16,24,25,Mammal,Bison bison,420000,79221.87,5.62324929,4.89884509,This Study,Eutherian,Artiodactyla,Bovidae,Bison,3,
17,24,25,Mammal,Bubalus bubalis,576633.6733,190289.1122,5.7609,5.27941394,"Skeat 1990; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Bovidae,Bubalus,2,African ecosystems
18,24,25,Mammal,Bubalus bubalis,800000,181549.256,5.903089987,5.258994473,This Study,Eutherian,Artiodactyla,Bovidae,Bubalus,2,African ecosystems
19,24,25,Mammal,Camelus dromedarius,414095.0127,57973.30178,5.6171,4.763228036,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Camelidae,Camelus,2,
20,24,25,Mammal,Camelus dromedarius,450000,121430.1049,5.653212514,5.08432637,Ernest et al. 2003,Eutherian,Artiodactyla,Camelidae,Camelus,2,
21,24,25,Mammal,Cervus elaphus,112901.5749,43241.30319,5.0527,4.635898774,"Houston 1982; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
22,24,25,Mammal,Cervus elaphus,112901.5749,30483.42522,5.0527,4.484063764,"Caughley 1977; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
23,24,25,Mammal,Cervus elaphus,112901.5749,33870.47247,5.0527,4.529821255,"McCorquodale et al. 1988; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
24,24,25,Mammal,Cervus elaphus,112901.5749,34999.48822,5.0527,4.544061694,"Gogan and Barrett 1987; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
25,24,25,Mammal,Cervus elaphus,112901.5749,32741.45672,5.0527,4.515097998,"Gogan and Barrett 1987; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
26,24,25,Mammal,Cervus elaphus,112901.5749,19193.26773,5.0527,4.283148921,"Eberhardt 1987; after Duncan et al. 2007, method: count",Eutherian,Artiodactyla,Cervidae,Cervus,9,
27,24,25,Mammal,Cervus elaphus,112901.5749,13548.18899,5.0527,4.131881246,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Artiodactyla,Cervidae,Cervus,9,
28,24,25,Mammal,Cervus elaphus,203625,50906.25,5.308831097,4.706771106,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Artiodactyla,Cervidae,Cervus,3,
